Iteration,Success Rate (%)
1,100.0
2,50.0
3,66.66666666666666
4,75.0
5,80.0
6,66.66666666666666
7,57.14285714285714
8,50.0
9,44.44444444444444
10,40.0
11,36.36363636363637
12,41.66666666666667
13,38.46153846153847
14,42.857142857142854
15,40.0
16,43.75
17,41.17647058823529
18,44.44444444444444
19,47.368421052631575
20,45.0
21,47.61904761904761
22,45.45454545454545
23,47.82608695652174
24,50.0
25,52.0
26,53.84615384615385
27,51.85185185185185
28,50.0
29,51.724137931034484
30,53.333333333333336
31,51.61290322580645
32,53.125
33,54.54545454545454
34,52.94117647058824
35,51.42857142857142
36,52.77777777777778
37,51.35135135135135
38,50.0
39,51.28205128205128
40,50.0
41,51.21951219512195
42,52.38095238095239
43,53.48837209302325
44,54.54545454545454
45,55.55555555555556
46,54.347826086956516
47,53.191489361702125
48,52.083333333333336
49,53.06122448979592
50,54.0
51,52.94117647058824
52,53.84615384615385
53,54.71698113207547
54,53.70370370370371
55,54.54545454545454
56,53.57142857142857
57,52.63157894736842
58,53.44827586206896
59,54.23728813559322
60,53.333333333333336
61,54.09836065573771
62,54.83870967741935
63,55.55555555555556
64,54.6875
65,53.84615384615385
66,53.03030303030303
67,53.73134328358209
68,54.41176470588235
69,55.072463768115945
70,54.285714285714285
71,53.52112676056338
72,52.77777777777778
73,52.054794520547944
74,52.702702702702695
75,53.333333333333336
76,53.94736842105263
77,53.246753246753244
78,53.84615384615385
79,53.16455696202531
80,53.75
81,53.086419753086425
82,53.65853658536586
83,53.01204819277109
84,52.38095238095239
85,51.76470588235295
86,52.32558139534884
87,52.87356321839081
88,53.40909090909091
89,53.93258426966292
90,54.44444444444444
91,53.84615384615385
92,53.2608695652174
93,52.68817204301075
94,52.12765957446809
95,52.63157894736842
96,52.083333333333336
97,51.546391752577314
98,52.04081632653062
99,52.52525252525253
100,52.0
101,51.48514851485149
102,50.98039215686274
103,51.45631067961165
104,50.96153846153846
105,51.42857142857142
106,51.886792452830186
107,51.4018691588785
108,51.85185185185185
109,52.293577981651374
110,51.81818181818182
111,51.35135135135135
112,50.89285714285714
113,50.442477876106196
114,50.0
115,50.43478260869565
116,50.86206896551724
117,51.28205128205128
118,50.847457627118644
119,51.26050420168067
120,50.83333333333333
121,50.413223140495866
122,50.0
123,49.59349593495935
124,50.0
125,50.4
126,50.79365079365079
127,51.181102362204726
128,51.5625
129,51.93798449612403
130,51.53846153846153
131,51.14503816793893
132,51.515151515151516
133,51.8796992481203
134,52.23880597014925
135,51.85185185185185
136,51.470588235294116
137,51.09489051094891
138,51.449275362318836
139,51.07913669064749
140,50.71428571428571
141,51.06382978723404
142,51.40845070422535
143,51.74825174825175
144,52.083333333333336
145,52.41379310344828
146,52.054794520547944
147,52.38095238095239
148,52.02702702702703
149,52.348993288590606
150,52.0
151,52.317880794701985
152,51.973684210526315
153,51.633986928104584
154,51.94805194805194
155,52.25806451612903
156,52.56410256410257
157,52.22929936305732
158,51.89873417721519
159,52.20125786163522
160,51.87500000000001
161,52.17391304347826
162,51.85185185185185
163,51.533742331288344
164,51.829268292682926
165,51.515151515151516
166,51.80722891566265
167,52.09580838323353
168,51.78571428571429
169,52.071005917159766
170,51.76470588235295
171,52.046783625730995
172,52.32558139534884
173,52.601156069364166
174,52.87356321839081
175,53.142857142857146
176,53.40909090909091
177,53.10734463276836
178,53.37078651685393
179,53.63128491620112
180,53.888888888888886
181,54.14364640883977
182,54.395604395604394
183,54.644808743169406
184,54.891304347826086
185,54.59459459459459
186,54.83870967741935
187,54.54545454545454
188,54.78723404255319
189,55.026455026455025
190,54.736842105263165
191,54.973821989528794
192,54.6875
193,54.40414507772021
194,54.63917525773196
195,54.871794871794876
196,55.10204081632652
197,54.82233502538071
198,55.05050505050505
199,54.773869346733676
200,54.50000000000001
201,54.72636815920397
202,54.95049504950495
203,55.172413793103445
204,55.392156862745104
205,55.60975609756098
206,55.8252427184466
207,55.55555555555556
208,55.28846153846154
209,55.50239234449761
210,55.23809523809524
211,55.45023696682464
212,55.188679245283026
213,55.39906103286385
214,55.60747663551402
215,55.81395348837209
216,55.55555555555556
217,55.29953917050692
218,55.5045871559633
219,55.25114155251142
220,55.00000000000001
221,55.203619909502265
222,55.4054054054054
223,55.60538116591929
224,55.35714285714286
225,55.55555555555556
226,55.309734513274336
227,55.50660792951542
228,55.26315789473685
229,55.021834061135365
230,55.21739130434783
231,55.41125541125541
232,55.603448275862064
233,55.36480686695279
234,55.55555555555556
235,55.319148936170215
236,55.08474576271186
237,55.27426160337553
238,55.46218487394958
239,55.23012552301255
240,55.41666666666667
241,55.601659751037346
242,55.371900826446286
243,55.55555555555556
244,55.73770491803278
245,55.51020408163265
246,55.6910569105691
247,55.87044534412956
248,56.048387096774185
249,56.22489959839358
250,56.00000000000001
